,Unnamed: 0,Date,v,final_v,ml_v,h,final_h,ml_h,total_open,total_close,spread_open,spread_close,gameid,margin,vegas_home_win_prob,vegas_away_win_prob,home_rating,away_rating,home_win_prob,away_win_prob,pred_spread,spread_diff_vegas,vegas_spread_winprob,bet_size,bet_team,pred_error,spread_outcome,home_win_ats,pred_correct,wealth
1063,1063,319,Indiana,109,185,LAClippers,115,-230,220.0,219.0,-4.0,-5.5,I109L115,-6,0.697,0.3509,1558.3324722131686,1555.8205482850208,0.5973,0.40269999999999995,-2.446854426005278,3.053145573994722,0.41369999999999996,0.03280749999999999,Indiana,-3.553145573994722,-1,-1,1.0,66.5446586865649
1064,1064,320,Milwaukee,102,-260,Cleveland,107,210,230.0,224.5,10.0,5.5,M102C107,-5,0.3226,0.7222,1346.3189823845014,1671.2601388742696,0.1838,0.8162,9.24789844606315,3.74789844606315,0.39449999999999996,0.0428875,Milwaukee,-14.24789844606315,-1,-1,1.0,63.69072463714485
1065,1065,320,NewOrleans,96,400,Orlando,119,-550,226.0,224.0,-6.0,-9.5,N96O119,-23,0.8462,0.2,1481.0597291209162,1448.3469035865169,0.6384,0.36160000000000003,-3.5254580547999774,5.974541945200023,0.3348,0.07423000000000002,NewOrleans,-19.474541945200023,-1,-1,1.0,58.962962147329584
1066,1066,320,Boston,115,145,Philadelphia,118,-170,226.0,224.0,-2.0,-3.5,B115P118,-3,0.6296,0.4082,1622.1136318351632,1580.782544108131,0.6497,0.35029999999999994,-3.83325313310829,-0.3332531331082902,0.5095000000000001,0.0,,0.8332531331082902,1,1,1.0,58.962962147329584
1067,1067,320,Utah,137,-1400,NewYork,116,800,211.5,210.5,12.0,12.5,U137N116,21,0.1111,0.9333,1276.158405508928,1597.8309655304822,0.1867,0.8133,9.131162857912654,-3.3688371420873455,0.5951,-0.03742749999999997,,11.868837142087346,1,1,1.0,56.75612588156041
1068,1068,320,Washington,120,-180,Chicago,126,150,234.5,229.0,2.0,4.0,W120C126,-6,0.4,0.6429,1361.679799661127,1455.8922699597797,0.4595,0.5405,1.0075882249518844,-2.9924117750481156,0.5846,-0.03191499999999999,,-7.007588224951885,-1,-1,0.0,58.40282747929677
1069,1069,320,Houston,125,-260,Memphis,126,210,217.5,215.5,5.0,6.0,H125M126,-1,0.3226,0.7222,1413.1919889120234,1642.8871821746002,0.2804,0.7196,5.846256902234886,-0.15374309776511375,0.5044,0.0,,-6.846256902234886,-1,-1,0.0,58.40282747929677
1070,1070,320,Miami,110,210,SanAntonio,105,-260,210.5,211.0,-5.5,-5.5,M110S105,5,0.7222,0.3226,1599.8006181390163,1503.892025720166,0.7175,0.2825,-5.782449729244653,-0.28244972924465284,0.508,0.0,,10.782449729244654,1,1,1.0,58.40282747929677
1071,1071,320,Toronto,123,180,OklahomaCity,114,-220,225.0,227.0,-2.5,-5.0,T123O114,9,0.6875,0.3571,1551.801466032347,1630.4897188784744,0.4817,0.5183,0.45315188736169276,5.453151887361693,0.34840000000000004,0.06709000000000001,Toronto,8.546848112638306,1,1,0.0,61.964869020738604
1072,1072,320,Dallas,118,425,Portland,126,-600,217.5,217.5,-8.5,-10.0,D118P126,-8,0.8571,0.1905,1601.1822497293897,1404.3270913681945,0.8195,0.1805,-9.387684227185543,0.6123157728144566,0.48260000000000003,0.0,,1.3876842271855434,1,1,0.0,61.964869020738604
